"","País","Part.","Títs.","Subts.","PJ","PG","PE","PP","GF","GC","DG","Pts."
"Vasco da Gama","Brasil",9,1,0,74,30,23,21,94,76,18,107
"Unión Española","Chile",13,0,1,95,33,29,33,115,128,-13,107
"Guadalajara","México",7,0,1,64,28,15,21,93,76,17,99
"Independiente Medellín","Colombia",10,0,0,76,28,18,30,96,93,3,95
"Newell's Old Boys","Argentina",8,0,2,74,28,26,20,86,77,9,91
"Oriente Petrolero","Bolivia",21,0,0,120,29,23,68,131,227,-96,90
"Deportes Tolima","Colombia",9,0,0,64,23,22,19,67,71,-4,86
"Lanús","Argentina",6,0,1,56,22,17,17,75,53,22,83
"Independiente del Valle","Ecuador",9,0,1,54,23,14,17,80,68,12,83
"Once Caldas","Colombia",8,1,0,56,18,22,16,65,61,4,76
"Cruz Azul","México",3,0,1,44,21,11,12,77,50,27,74
"Botafogo","Brasil",5,0,0,47,22,9,16,64,54,10,65
"Deportivo Quito","Ecuador",10,0,0,54,16,16,22,54,80,-26,60
"Tigres UANL","México",4,0,1,34,15,12,7,57,41,16,57
"Deportivo Petare<U+200B>","Venezuela",11,0,0,68,17,16,35,66,132,-66,54
"São Caetano","Brasil",3,0,1,33,14,10,9,47,29,18,52
"Montevideo Wanderers","Uruguay",10,0,0,51,16,12,23,62,76,-14,52
"Atlas","México",3,0,0,34,13,9,12,58,51,7,48
"Palestino","Chile",6,0,0,44,14,12,18,59,52,7,47
"Portuguesa","Venezuela",8,0,0,52,15,17,20,51,71,-20,47
"Nacional - Par","Paraguay",9,0,1,50,12,12,26,57,85,-28,47
"Argentinos Juniors","Argentina",5,1,0,33,16,8,9,40,29,11,46
"Huracán","Argentina",5,0,0,39,13,13,13,46,42,4,46
"Bella Vista","Uruguay",6,0,0,40,12,10,18,54,56,-2,46
"Arsenal","Argentina",4,0,0,32,14,4,14,41,44,-3,46
"Estudiantes de Mérida","Venezuela",7,0,0,52,14,9,29,57,95,-38,46
"Pumas UNAM","México",3,0,0,30,14,3,13,46,37,9,45
"Banfield","Argentina",4,0,0,28,12,8,8,47,38,9,44
"Deportivo Cuenca","Ecuador",7,0,0,43,11,12,20,41,62,-21,41
"Cienciano","Perú",6,0,0,36,12,4,20,42,62,-20,40
"Toluca","México",3,0,0,22,12,3,7,33,32,1,39
"Blooming","Bolivia",7,0,0,42,13,9,20,53,72,-19,39
"Monarcas Morelia","México",4,0,0,26,11,5,10,41,34,7,38
"Danubio","Uruguay",8,0,0,46,13,8,25,51,72,-21,38
"Atlético Tucumán","Argentina",3,0,0,24,10,3,11,26,30,-4,33
"Godoy Cruz","Argentina",4,0,0,26,8,9,11,36,46,-10,33
"Sol de América","Paraguay",6,0,0,40,11,11,18,50,68,-18,33
"San José","Bolivia",8,0,0,46,9,6,31,40,107,-67,32
"Cúcuta Deportivo","Colombia",2,0,0,20,8,6,6,28,24,4,30
"Juan Aurich","Perú",4,0,0,28,9,5,14,38,54,-16,30
"Santos Laguna","México",2,0,0,16,8,4,4,24,17,7,28
"Melgar","Perú",7,0,0,36,10,3,23,29,60,-31,28
"Minervén","Venezuela",4,0,0,35,8,9,18,36,81,-45,28
"Guarani","Brasil",3,0,0,24,9,9,6,36,25,11,27
"Talleres (C)","Argentina",3,0,0,20,6,7,7,21,23,-2,25
"Olmedo","Ecuador",4,0,0,22,8,1,13,31,44,-13,25
"Cusco FC<U+200B>","Perú",4,0,0,24,7,4,13,18,35,-17,25
"Deportivo Galicia †","Venezuela",9,0,0,54,8,9,37,40,101,-61,25
"Audax Italiano","Chile",3,0,0,16,7,3,6,19,21,-2,24
"Santiago Wanderers","Chile",3,0,0,22,7,7,8,29,34,-5,24
"Colón","Argentina",3,0,0,20,7,3,10,24,32,-8,24
"Monterrey","México",2,0,0,18,6,5,7,28,26,2,23
"Delfín","Ecuador",3,0,0,18,6,4,8,19,26,-7,22
"Real Potosí","Bolivia",6,0,0,24,6,4,14,33,54,-21,22
"Sport Recife","Brasil",2,0,0,14,7,2,5,18,14,4,21
"Necaxa","México",2,0,0,14,6,3,5,16,14,2,21
"O'Higgins","Chile",4,0,0,28,5,10,13,27,37,-10,21
"Universidad Católica - Ecu","Ecuador",5,0,0,22,6,6,10,23,20,3,20
"Universidad San Martín","Perú",3,0,0,20,6,2,12,19,35,-16,20
"Maracaibo †","Venezuela",4,0,0,25,4,8,13,29,50,-21,20
"Tijuana","México",1,0,0,10,5,4,1,13,8,5,19
"Tigre","Argentina",2,0,0,16,6,1,9,19,31,-12,19
"Goiás","Brasil",1,0,0,10,5,3,2,14,5,9,18
"Chiapas","México",1,0,0,12,5,3,4,15,14,1,18
"Universidad de Los Andes","Venezuela",3,0,0,23,7,3,13,19,39,-20,18
"Paysandu","Brasil",1,0,0,8,5,2,1,17,9,8,17
"Bahia","Brasil",3,0,0,14,6,5,3,18,15,3,17
"Gimnasia y Esgrima (LP)","Argentina",2,0,0,12,4,4,4,17,17,0,16
"Everton","Chile",3,0,0,16,5,3,8,17,21,-4,16
"Unión Huaral","Perú",3,0,0,20,4,8,8,18,34,-16,16
"Marítimo †","Venezuela",5,0,0,33,2,12,19,23,51,-28,16
"Deportivo Lara","Venezuela",5,0,0,22,4,4,14,21,52,-31,16
"Coritiba","Brasil",2,0,0,12,4,5,3,15,13,2,15
"Progreso","Uruguay",3,0,0,17,4,7,6,21,20,1,15
"Fortaleza","Brasil",2,0,0,12,4,3,5,16,16,0,15
"Defensa y Justicia","Argentina",2,0,0,14,4,3,7,20,23,-3,15
"Deportes Iquique","Chile",2,0,0,14,4,3,7,19,24,-5,15
"Universitario de Sucre","Bolivia",3,0,0,16,3,6,7,13,21,-8,15
"Deportivo Municipal - Bol","Bolivia",3,0,0,20,6,3,11,38,47,-9,15
"Criciúma","Brasil",1,0,0,10,6,2,2,19,12,7,14
"León","México",2,0,0,10,3,5,2,15,12,3,14
"Huachipato","Chile",2,0,0,12,4,4,4,20,18,2,14
"Paraná","Brasil",1,0,0,10,4,2,4,14,12,2,14
"Ferro Carril Oeste","Argentina",2,0,0,13,6,2,5,12,11,1,14
"Pachuca","México",2,0,0,10,4,2,4,12,15,-3,14
"Deportes Concepción","Chile",2,0,0,16,4,4,8,18,26,-8,14
"Atlético Colegiales","Paraguay",2,0,0,15,3,6,6,22,27,-5,13
"San Luis †","México",3,0,0,14,3,4,7,14,20,-6,13
"Mineros de Guayana","Venezuela",5,0,0,22,3,5,14,15,40,-25,13
"Always Ready","Bolivia",4,0,0,20,3,4,13,16,44,-28,13
"Sport Boys","Perú",6,0,0,37,3,7,27,28,80,-52,13
"Racing","Uruguay",1,0,0,8,3,3,2,8,7,1,12
"Magallanes","Chile",2,0,0,10,4,2,4,12,12,0,12
"Boyacá Chicó","Colombia",2,0,0,8,4,0,4,12,12,0,12
"Cerro","Uruguay",3,0,0,14,3,3,8,12,23,-11,12
"12 de Octubre","Paraguay",2,0,0,12,4,0,8,12,24,-12,12
"Sportivo Luqueño","Paraguay",3,0,0,18,3,4,11,15,30,-15,12
"Fénix","Uruguay",2,0,0,12,3,2,7,16,24,-8,11
"Trujillanos","Venezuela",3,0,0,18,3,2,13,19,50,-31,11
"Zamora","Venezuela",6,0,0,32,3,2,27,22,69,-47,11
"América de Quito","Ecuador",2,0,0,12,4,2,6,13,21,-8,10
"Cobresal","Chile",2,0,0,12,2,5,5,10,19,-9,10
"Atlético San Cristóbal †","Venezuela",1,0,0,10,3,3,4,10,12,-2,9
"Defensor Lima","Perú",1,0,0,10,4,1,5,8,12,-4,9
"Quilmes","Argentina",2,0,0,14,2,4,8,17,24,-7,9
"Santo André","Brasil",1,0,0,6,2,2,2,11,6,5,8
"Deportivo Capiatá","Paraguay",1,0,0,6,2,2,2,8,7,1,8
"Valdez †","Ecuador",1,0,0,8,3,2,3,7,6,1,8
"Deportivo Portugués †","Venezuela",1,0,0,12,3,2,7,8,23,-15,8
"Universidad de Concepción","Chile",3,0,0,14,1,5,8,16,33,-17,8
"Valencia †","Venezuela",3,0,0,16,2,4,10,16,35,-19,8
"9 de Octubre","Ecuador",3,0,0,20,3,2,15,26,56,-30,8
"Boston River","Uruguay",1,0,0,4,2,1,1,4,2,2,7
"Atlético Bucaramanga","Colombia",1,0,0,8,2,1,5,6,9,-3,7
"Juventude","Brasil",1,0,0,6,2,1,3,8,12,-4,7
"América Mineiro","Brasil",1,0,0,10,1,4,5,9,16,-7,7
"River Plate - Uru","Uruguay",1,0,0,8,1,4,3,8,15,-7,7
"Chapecoense","Brasil",2,0,0,8,2,1,5,6,14,-8,7
"Deportivo La Guaira","Venezuela",2,0,0,10,1,4,5,4,12,-8,7
"Alfonso Ugarte","Perú",1,0,0,6,1,4,1,5,8,-3,6
"Paulista","Brasil",1,0,0,6,1,3,2,4,7,-3,6
"Espoli","Ecuador",1,0,0,8,2,0,6,8,15,-7,6
"Pepeganga †","Venezuela",1,0,0,8,3,0,5,4,14,-10,6
"Monagas","Venezuela",3,0,0,8,2,0,6,6,17,-11,6
"Deportivo Anzoátegui †","Venezuela",3,0,0,10,1,3,6,7,20,-13,6
"Guabirá","Bolivia",2,0,0,12,2,1,9,9,31,-22,6
"Unión Magdalena","Colombia",1,0,0,6,2,1,3,7,8,-1,5
"Defensor Arica †","Perú",1,0,0,6,1,3,2,5,6,-1,5
"Bragantino","Brasil",1,0,0,6,1,2,3,5,9,-4,5
"León de Huánuco","Perú",1,0,0,6,1,2,3,4,8,-4,5
"Zulia","Venezuela",1,0,0,6,1,2,3,4,10,-6,5
"Rocha","Uruguay",1,0,0,6,1,2,3,4,16,-12,5
"Carabobo","Venezuela",4,0,0,8,1,2,5,3,15,-12,5
"Chaco Petrolero","Bolivia",2,0,0,12,2,1,9,8,22,-14,5
"31 de Octubre","Bolivia",1,0,0,10,2,1,7,12,29,-17,5
"Náutico","Brasil",1,0,0,6,1,2,3,7,8,-1,4
"Unión San Felipe","Chile",1,0,0,6,1,2,3,5,8,-3,4
"Liverpool","Uruguay",3,0,0,4,1,1,2,5,9,-4,4
"Sport Huancayo","Perú",2,0,0,4,1,1,2,4,8,-4,4
"Deportivo Canarias †","Venezuela",1,0,0,6,1,2,3,3,7,-4,4
"Técnico Universitario","Ecuador",2,0,0,12,1,2,9,15,27,-12,4
"Lara †","Venezuela",1,0,0,10,1,2,7,5,17,-12,4
"Plaza Colonia","Uruguay",1,0,0,2,1,0,1,2,3,-1,3
"La Paz FC †","Bolivia",1,0,0,2,1,0,1,1,2,-1,3
"Atlante","México",1,0,0,6,1,0,5,8,13,-5,3
"UTC","Perú",1,0,0,6,1,1,4,7,13,-6,3
"San Agustín","Perú",1,0,0,6,1,1,4,5,11,-6,3
"Cortuluá","Colombia",1,0,0,6,1,0,5,9,16,-7,3
"Universidad César Vallejo","Perú",4,0,0,8,0,3,5,2,9,-7,3
"Rentistas","Uruguay",1,0,0,6,0,3,3,2,9,-7,3
"Nacional Táchira †","Venezuela",1,0,0,6,1,0,5,6,16,-10,3
"Coquimbo Unido","Chile",1,0,0,8,1,1,6,6,18,-12,3
"Rangers","Chile",1,0,0,10,1,1,8,11,27,-16,3
"Deportivo Binacional","Perú",1,0,0,6,1,0,5,3,25,-22,3
"Montevideo City Torque","Uruguay",1,0,0,2,0,2,0,1,1,0,2
"Macará","Ecuador",2,0,0,4,0,2,2,1,3,-2,2
"Tacuary","Paraguay",2,0,0,4,0,2,2,3,8,-5,2
"Coronel Bolognesi","Perú",1,0,0,6,0,2,4,0,5,-5,2
"Bangú","Brasil",1,0,0,6,0,2,4,6,12,-6,2
"Unión La Calera","Chile",1,0,0,6,0,2,4,8,17,-9,2
"Sport Boys - Bol","Bolivia",1,0,0,6,0,2,4,8,19,-11,2
"Universitario de La Paz","Bolivia",1,0,0,6,0,2,4,2,19,-17,2
"Puebla","México",1,0,0,2,0,1,1,2,3,-1,1
"Royal Pari","Bolivia",1,0,0,2,0,1,1,2,5,-3,1
"Cerro Largo","Uruguay",1,0,0,2,0,1,1,2,6,-4,1
"Deportivo Maldonado","Uruguay",1,0,0,2,0,1,1,0,4,-4,1
"Filanbanco","Ecuador",1,0,0,6,0,1,5,5,12,-7,1
"Deportivo Municipal","Perú",2,0,0,8,0,1,7,5,15,-10,1
"Atlético Chalaco","Perú",1,0,0,6,0,1,5,3,14,-11,1
"Atlético Torino","Perú",1,0,0,6,0,1,5,4,16,-12,1
"Litoral","Bolivia",1,0,0,6,0,1,5,1,14,-13,1
"Independiente Petrolero","Bolivia",1,0,0,6,0,1,5,3,26,-23,1
"Aurora","Bolivia",2,0,0,10,0,1,9,5,29,-24,1
"Curicó Unido","Chile",1,0,0,2,0,0,2,0,2,-2,0
"Estudiantes Tecos","México",1,0,0,2,0,0,2,1,4,-3,0
"Ayacucho FC","Perú",1,0,0,2,0,0,2,2,8,-6,0
"Nacional Potosí","Bolivia",1,0,0,2,0,0,2,2,9,-7,0
"Atlético Zulia †","Venezuela",1,0,0,4,0,0,4,3,11,-8,0
"Deportivo Pasto","Colombia",1,0,0,6,0,0,6,3,14,-11,0
"Everest","Ecuador",1,0,0,2,0,0,2,1,14,-13,0
