"","eciv","lenm","facexp"
"244","Viudo/a","Quechua",223.997055053711
"245","Soltero/a","Quechua",223.997055053711
"246","Soltero/a","Quechua",223.997055053711
"247","Soltero/a","Quechua",223.997055053711
"249","Casado/a","Castellano",223.997055053711
"250","Casado/a","Castellano",223.997055053711
"254","Casado/a","Quechua",223.997055053711
"255","Casado/a","Quechua",223.997055053711
"256","Soltero/a","Castellano",223.997055053711
"257","Soltero/a","Castellano",223.997055053711
"258","Soltero/a","Castellano",223.997055053711
"259","Soltero/a","Castellano",223.997055053711
"261","Casado/a","Castellano",223.997055053711
"262","Casado/a","Castellano",223.997055053711
"266","Soltero/a","Castellano",223.997055053711
"267","Casado/a","Castellano",223.997055053711
"268","Casado/a","Castellano",223.997055053711
"271","Casado/a","Quechua",223.997055053711
"272","Casado/a","Quechua",223.997055053711
"273","Soltero/a","Castellano",223.997055053711
"274","Soltero/a","Castellano",223.997055053711
"275","Separado/a","Quechua",223.997055053711
"276","Soltero/a","Castellano",223.997055053711
"280","Soltero/a","Castellano",205.330642700195
"281","Soltero/a","Castellano",205.330642700195
"282","Casado/a","Castellano",205.330642700195
"283","Casado/a","Castellano",205.330642700195
"287","Casado/a","Castellano",205.330642700195
"288","Casado/a","Castellano",205.330642700195
"289","Viudo/a","Castellano",205.330642700195
"290","Casado/a","Castellano",205.330642700195
"291","Casado/a","Castellano",205.330642700195
"292","Soltero/a","Castellano",205.330642700195
"293","Soltero/a","Castellano",205.330642700195
"294","Casado/a","Castellano",205.330642700195
"296","Casado/a","Quechua",205.330642700195
"297","Soltero/a","Quechua",205.330642700195
"298","Soltero/a","Quechua",205.330642700195
"299","Soltero/a","Quechua",205.330642700195
"300","Casado/a","Quechua",205.330642700195
"301","Casado/a","Quechua",205.330642700195
"302","Soltero/a","Castellano",205.330642700195
"303","Soltero/a","Castellano",205.330642700195
"305","Casado/a","Castellano",205.330642700195
"306","Casado/a","Castellano",205.330642700195
"309","Concubino/a","Castellano",205.330642700195
"310","Concubino/a","Castellano",205.330642700195
"311","Soltero/a","Castellano",205.330642700195
"312","Soltero/a","Castellano",205.330642700195
"313","Concubino/a","Quechua",205.330642700195
"314","Concubino/a","Quechua",205.330642700195
"318","Casado/a","Quechua",205.330642700195
"319","Casado/a","Quechua",205.330642700195
"320","Soltero/a","Quechua",205.330642700195
"321","Soltero/a","Quechua",205.330642700195
"322","Soltero/a","Quechua",205.330642700195
"323","Soltero/a","Quechua",205.330642700195
"324","Soltero/a","Quechua",205.330642700195
"325","Soltero/a","Quechua",205.330642700195
"326","Soltero/a","Castellano",205.330642700195
"327","Concubino/a","Castellano",205.330642700195
"328","Concubino/a","Quechua",205.330642700195
"329","Soltero/a","Castellano",205.330642700195
"332","Concubino/a","Castellano",205.330642700195
"333","Concubino/a","Castellano",205.330642700195
"336","Concubino/a","Quechua",205.330642700195
"337","Concubino/a","Quechua",205.330642700195
"340","Casado/a","Quechua",205.330642700195
"341","Casado/a","Quechua",205.330642700195
"343","Viudo/a","Quechua",205.330642700195
"344","Soltero/a","Castellano",205.330642700195
"345","Concubino/a","Castellano",205.330642700195
"346","Concubino/a","Quechua",205.330642700195
"347","Casado/a","Castellano",205.330642700195
"348","Casado/a","Castellano",205.330642700195
"350","Concubino/a","Castellano",205.330642700195
"351","Concubino/a","Castellano",205.330642700195
"353","Casado/a","Castellano",205.330642700195
"354","Casado/a","Quechua",205.330642700195
"355","Soltero/a","Castellano",205.330642700195
"356","Soltero/a","Castellano",205.330642700195
"357","Soltero/a","Castellano",205.330642700195
"359","Soltero/a","Castellano",205.330642700195
"360","Soltero/a","Castellano",205.330642700195
"361","Casado/a","Quechua",205.330642700195
"362","Casado/a","Quechua",205.330642700195
"363","Soltero/a","Castellano",205.330642700195
"364","Casado/a","Castellano",205.330642700195
"365","Casado/a","Castellano",205.330642700195
"367","Soltero/a","Quechua",254.63102722168
"368","Concubino/a","Castellano",254.63102722168
"370","Concubino/a","Castellano",254.63102722168
"371","Concubino/a","Castellano",254.63102722168
"373","Viudo/a","Quechua",254.63102722168
"374","Separado/a","Quechua",254.63102722168
"375","Soltero/a","Castellano",254.63102722168
"376","Viudo/a","Quechua",254.63102722168
"377","Soltero/a","Castellano",254.63102722168
"378","Soltero/a","Castellano",254.63102722168
"379","Soltero/a","Castellano",254.63102722168
"380","Soltero/a","Castellano",254.63102722168
"381","Soltero/a","Castellano",254.63102722168
"382","Soltero/a","Castellano",254.63102722168
"383","Soltero/a","Castellano",254.63102722168
"384","Soltero/a","Castellano",254.63102722168
"385","Soltero/a","Quechua",254.63102722168
"386","Soltero/a","Castellano",254.63102722168
"388","Casado/a","Castellano",254.63102722168
"389","Casado/a","Quechua",254.63102722168
"390","Soltero/a","Castellano",254.63102722168
"391","Soltero/a","Castellano",254.63102722168
"392","Soltero/a","Castellano",254.63102722168
"393","Soltero/a","Castellano",254.63102722168
"394","Soltero/a","Castellano",254.63102722168
"395","Soltero/a","Castellano",254.63102722168
"396","Viudo/a","Quechua",254.63102722168
"397","Casado/a","Castellano",254.63102722168
"398","Casado/a","Castellano",254.63102722168
"402","Viudo/a","Castellano",254.63102722168
"403","Soltero/a","Castellano",254.63102722168
"404","Concubino/a","Castellano",254.63102722168
"405","Concubino/a","Castellano",254.63102722168
"408","Casado/a","Castellano",254.63102722168
"409","Casado/a","Castellano",254.63102722168
"412","Casado/a","Quechua",254.63102722168
"413","Casado/a","Quechua",254.63102722168
"414","Soltero/a","Castellano",254.63102722168
"415","Soltero/a","Castellano",254.63102722168
"416","Soltero/a","Castellano",254.63102722168
"417","Casado/a","Quechua",254.63102722168
"418","Casado/a","Castellano",254.63102722168
"419","Soltero/a","Castellano",254.63102722168
"420","Soltero/a","Castellano",254.63102722168
"421","Soltero/a","Quechua",254.63102722168
"422","Soltero/a","Quechua",254.63102722168
"423","Soltero/a","Castellano",254.63102722168
"424","Viudo/a","Quechua",254.63102722168
"425","Casado/a","Castellano",254.63102722168
"426","Casado/a","Castellano",254.63102722168
"427","Soltero/a","Castellano",254.63102722168
"428","Soltero/a","Castellano",254.63102722168
"429","Soltero/a","Castellano",254.63102722168
"430","Soltero/a","Castellano",254.63102722168
"431","Soltero/a","Castellano",254.63102722168
"434","Concubino/a","Quechua",254.63102722168
"435","Concubino/a","Quechua",254.63102722168
"436","Soltero/a","Castellano",254.63102722168
"438","Concubino/a","Castellano",254.63102722168
"439","Concubino/a","Castellano",254.63102722168
"442","Casado/a","Castellano",254.63102722168
"443","Casado/a","Castellano",254.63102722168
"444","Soltero/a","Castellano",254.63102722168
"447","Casado/a","Castellano",254.63102722168
"448","Casado/a","Castellano",254.63102722168
"449","Soltero/a","Castellano",254.63102722168
"450","Soltero/a","Castellano",254.63102722168
"451","Soltero/a","Castellano",254.63102722168
"453","Concubino/a","Castellano",254.63102722168
"454","Concubino/a","Castellano",254.63102722168
"456","Soltero/a","Castellano",254.63102722168
"457","Soltero/a","Castellano",254.63102722168
"459","Soltero/a","Castellano",254.63102722168
"462","Viudo/a","Castellano",254.63102722168
"463","Soltero/a","Castellano",254.63102722168
"464","Soltero/a","Castellano",254.63102722168
"465","Soltero/a","Castellano",254.63102722168
"466","Soltero/a","Castellano",254.63102722168
"467","Viudo/a","Quechua",254.63102722168
"468","Casado/a","Quechua",254.63102722168
"469","Casado/a","Quechua",254.63102722168
"470","Casado/a","Castellano",254.63102722168
"471","Casado/a","Castellano",254.63102722168
"474","Soltero/a","Quechua",254.63102722168
"475","Concubino/a","Castellano",254.63102722168
"476","Concubino/a","Quechua",254.63102722168
"479","Soltero/a","Quechua",254.63102722168
"481","Casado/a","Castellano",254.63102722168
"482","Casado/a","Castellano",254.63102722168
"483","Soltero/a","Castellano",254.63102722168
"484","Casado/a","Castellano",254.63102722168
"485","Casado/a","Castellano",254.63102722168
"486","Soltero/a","Castellano",254.63102722168
"487","Soltero/a","Castellano",254.63102722168
"488","Casado/a","Castellano",254.63102722168
"489","Casado/a","Castellano",254.63102722168
"490","Soltero/a","Castellano",254.63102722168
"493","Casado/a","Castellano",254.63102722168
"494","Casado/a","Castellano",254.63102722168
"495","Soltero/a","Castellano",254.63102722168
"496","Soltero/a","Castellano",254.63102722168
"498","Concubino/a","Castellano",254.63102722168
"499","Concubino/a","Castellano",254.63102722168
"501","Casado/a","Castellano",254.63102722168
"502","Casado/a","Castellano",254.63102722168
"503","Soltero/a","Castellano",254.63102722168
"504","Soltero/a","Castellano",254.63102722168
"505","Soltero/a","Castellano",254.63102722168
"506","Soltero/a","Castellano",254.63102722168
"507","Casado/a","Castellano",254.63102722168
"508","Casado/a","Castellano",254.63102722168
"509","Soltero/a","Castellano",254.63102722168
"510","Soltero/a","Castellano",254.63102722168
"511","Soltero/a","Castellano",254.63102722168
"512","Viudo/a","Quechua",254.63102722168
"513","Soltero/a","Quechua",254.63102722168
"514","Viudo/a","Castellano",254.63102722168
"515","Soltero/a","Castellano",254.63102722168
"516","Separado/a","Castellano",254.63102722168
"517","Soltero/a","Castellano",254.63102722168
"518","Soltero/a","Castellano",254.63102722168
"520","Viudo/a","Castellano",254.63102722168
"521","Soltero/a","Castellano",254.63102722168
"522","Soltero/a","Castellano",254.63102722168
"523","Soltero/a","Castellano",254.63102722168
"525","Viudo/a","Quechua",254.63102722168
"527","Casado/a","Castellano",254.63102722168
"528","Casado/a","Castellano",254.63102722168
"529","Soltero/a","Castellano",254.63102722168
"530","Soltero/a","Castellano",254.63102722168
"531","Concubino/a","Castellano",254.63102722168
"532","Concubino/a","Castellano",254.63102722168
"534","Casado/a","Quechua",254.63102722168
"535","Casado/a","Quechua",254.63102722168
"536","Soltero/a","Castellano",254.63102722168
"537","Soltero/a","Castellano",254.63102722168
"539","Casado/a","Castellano",254.63102722168
"540","Soltero/a","Castellano",254.63102722168
"541","Soltero/a","Castellano",254.63102722168
"543","Concubino/a","Castellano",254.63102722168
"544","Concubino/a","Quechua",254.63102722168
"546","Soltero/a","Castellano",254.63102722168
"547","Soltero/a","Castellano",254.63102722168
"549","Casado/a","Castellano",254.63102722168
"550","Casado/a","Castellano",254.63102722168
"551","Soltero/a","Castellano",254.63102722168
"552","Concubino/a","Castellano",254.63102722168
"555","Viudo/a","Castellano",254.63102722168
"556","Soltero/a","Castellano",254.63102722168
"557","Soltero/a","Castellano",254.63102722168
"558","Casado/a","Castellano",254.63102722168
"559","Soltero/a","Castellano",254.63102722168
"560","Soltero/a","Castellano",254.63102722168
"561","Concubino/a","Castellano",254.63102722168
"562","Concubino/a","Castellano",254.63102722168
"565","Soltero/a","Castellano",254.63102722168
"566","Soltero/a","Castellano",254.63102722168
"567","Casado/a","Castellano",254.63102722168
"568","Casado/a","Castellano",254.63102722168
"569","Soltero/a","Castellano",254.63102722168
"570","Soltero/a","Castellano",254.63102722168
"572","Casado/a","Castellano",254.63102722168
"573","Casado/a","Castellano",254.63102722168
"574","Soltero/a","Castellano",254.63102722168
"576","Soltero/a","Quechua",254.63102722168
"577","Soltero/a","Castellano",254.63102722168
"578","Soltero/a","Castellano",254.63102722168
"579","Soltero/a","Castellano",254.63102722168
"584","Casado/a","Castellano",254.63102722168
"585","Casado/a","Castellano",254.63102722168
"586","Soltero/a","Castellano",254.63102722168
"588","Viudo/a","Castellano",254.63102722168
"589","Casado/a","Castellano",254.63102722168
"590","Casado/a","Castellano",254.63102722168
"591","Soltero/a","Castellano",254.63102722168
"592","Casado/a","Castellano",254.63102722168
"593","Casado/a","Castellano",254.63102722168
"594","Casado/a","Quechua",254.63102722168
"595","Casado/a","Castellano",254.63102722168
"596","Soltero/a","Castellano",254.63102722168
"597","Casado/a","Castellano",254.63102722168
"598","Casado/a","Castellano",254.63102722168
"599","Divorciado/a","Castellano",254.63102722168
"600","Casado/a","Castellano",254.63102722168
"601","Casado/a","Castellano",254.63102722168
"602","Soltero/a","Castellano",254.63102722168
"603","Casado/a","Castellano",254.63102722168
"604","Casado/a","Quechua",254.63102722168
"605","Casado/a","Castellano",254.63102722168
"606","Casado/a","Castellano",254.63102722168
"607","Soltero/a","Castellano",254.63102722168
"608","Soltero/a","Castellano",254.63102722168
"609","Soltero/a","Castellano",254.63102722168
"610","Concubino/a","Castellano",254.63102722168
"611","Concubino/a","Castellano",254.63102722168
"614","Soltero/a","Castellano",254.63102722168
"615","Separado/a","Castellano",254.63102722168
"616","Soltero/a","Castellano",254.63102722168
"617","Soltero/a","Castellano",254.63102722168
"618","Separado/a","Castellano",254.63102722168
"619","Soltero/a","Castellano",254.63102722168
"620","Soltero/a","Castellano",254.63102722168
"622","Soltero/a","Castellano",254.63102722168
"623","Concubino/a","Castellano",254.63102722168
"624","Concubino/a","Castellano",254.63102722168
"627","Viudo/a","Quechua",254.63102722168
"628","Casado/a","Castellano",254.63102722168
"629","Casado/a","Castellano",254.63102722168
"630","Soltero/a","Castellano",254.63102722168
"632","Soltero/a","Castellano",254.63102722168
"633","Separado/a","Quechua",254.63102722168
"634","Soltero/a","Castellano",254.63102722168
"635","Soltero/a","Castellano",254.63102722168
"636","Soltero/a","Castellano",254.63102722168
"637","Soltero/a","Castellano",254.63102722168
"638","Soltero/a","Castellano",254.63102722168
"640","Concubino/a","Castellano",254.63102722168
"641","Concubino/a","Castellano",254.63102722168
"644","Divorciado/a","Castellano",254.63102722168
"646","Soltero/a","Castellano",405.780090332031
"647","Soltero/a","Castellano",405.780090332031
"648","Separado/a","Castellano",405.780090332031
"650","Casado/a","Castellano",405.780090332031
"651","Casado/a","Castellano",405.780090332031
"652","Soltero/a","Castellano",405.780090332031
"653","Casado/a","Castellano",405.780090332031
"654","Casado/a","Castellano",405.780090332031
"655","Soltero/a","Castellano",405.780090332031
"656","Soltero/a","Castellano",405.780090332031
"657","Separado/a","Castellano",405.780090332031
"658","Casado/a","Castellano",405.780090332031
"659","Casado/a","Castellano",405.780090332031
"660","Soltero/a","Castellano",405.780090332031
"661","Casado/a","Castellano",405.780090332031
"662","Casado/a","Castellano",405.780090332031
"663","Soltero/a","Castellano",405.780090332031
"666","Separado/a","Castellano",405.780090332031
"667","Soltero/a","Castellano",405.780090332031
"668","Soltero/a","Castellano",405.780090332031
"669","Casado/a","Castellano",405.780090332031
"670","Casado/a","Castellano",405.780090332031
"671","Separado/a","Castellano",405.780090332031
"672","Soltero/a","Castellano",405.780090332031
"674","Viudo/a","Castellano",405.780090332031
"675","Soltero/a","Castellano",405.780090332031
"676","Soltero/a","Castellano",405.780090332031
"677","Soltero/a","Castellano",405.780090332031
"678","Soltero/a","Castellano",405.780090332031
"679","Soltero/a","Castellano",405.780090332031
"680","Soltero/a","Castellano",405.780090332031
"681","Soltero/a","Castellano",405.780090332031
"682","Divorciado/a","Castellano",405.780090332031
"683","Soltero/a","Castellano",405.780090332031
"685","Soltero/a","Castellano",405.780090332031
"686","Soltero/a","Castellano",405.780090332031
"687","Soltero/a","Castellano",405.780090332031
"688","Soltero/a","Castellano",405.780090332031
"689","Soltero/a","Castellano",405.780090332031
"690","Soltero/a","Castellano",405.780090332031
"692","Viudo/a","Castellano",405.780090332031
"693","Soltero/a","Castellano",405.780090332031
"694","Soltero/a","Castellano",405.780090332031
"695","Soltero/a","Castellano",405.780090332031
"696","Soltero/a","Castellano",405.780090332031
"697","Viudo/a","Castellano",405.780090332031
"698","Soltero/a","Castellano",405.780090332031
"699","Soltero/a","Quechua",405.780090332031
"700","Soltero/a","Castellano",405.780090332031
"702","Divorciado/a","Castellano",405.780090332031
"703","Soltero/a","Castellano",405.780090332031
"705","Casado/a","Castellano",405.780090332031
"706","Casado/a","Castellano",405.780090332031
"707","Soltero/a","Castellano",405.780090332031
"708","Soltero/a","Castellano",405.780090332031
"709","Soltero/a","Castellano",405.780090332031
"710","Soltero/a","Castellano",405.780090332031
"711","Soltero/a","Castellano",405.780090332031
"712","Soltero/a","Castellano",405.780090332031
"713","Casado/a","Castellano",405.780090332031
"714","Casado/a","Castellano",405.780090332031
"716","Soltero/a","Castellano",405.780090332031
"717","Soltero/a","Castellano",405.780090332031
"718","Soltero/a","Castellano",405.780090332031
"719","Divorciado/a","Castellano",405.780090332031
"720","Soltero/a","Castellano",405.780090332031
"721","Divorciado/a","Castellano",405.780090332031
"722","Soltero/a","Quechua",405.780090332031
"723","Casado/a","Castellano",405.780090332031
"724","Casado/a","Castellano",405.780090332031
"725","Casado/a","Castellano",405.780090332031
"726","Soltero/a","Castellano",405.780090332031
"727","Soltero/a","Castellano",405.780090332031
"728","Casado/a","Castellano",405.780090332031
"729","Casado/a","Castellano",405.780090332031
"730","Soltero/a","Castellano",405.780090332031
"732","Soltero/a","Castellano",405.780090332031
"733","Divorciado/a","Castellano",405.780090332031
"734","Soltero/a","Castellano",405.780090332031
"735","Soltero/a","Castellano",405.780090332031
"736","Casado/a","Castellano",405.780090332031
"737","Casado/a","Castellano",405.780090332031
"738","Casado/a","Castellano",405.780090332031
"739","Soltero/a","Castellano",405.780090332031
"740","Soltero/a","Castellano",405.780090332031
"741","Soltero/a","Castellano",405.780090332031
"742","Casado/a","Castellano",405.780090332031
"743","Casado/a","Castellano",405.780090332031
"744","Casado/a","Castellano",405.780090332031
"745","Casado/a","Castellano",405.780090332031
"749","Soltero/a","Castellano",405.780090332031
"750","Soltero/a","Castellano",405.780090332031
"751","Casado/a","Castellano",405.780090332031
"752","Casado/a","Castellano",405.780090332031
"753","Soltero/a","Castellano",405.780090332031
"754","Soltero/a","Castellano",405.780090332031
"755","Soltero/a","Castellano",405.780090332031
"756","Soltero/a","Castellano",405.780090332031
"759","Soltero/a","Castellano",405.780090332031
"760","Divorciado/a","Castellano",405.780090332031
"761","Soltero/a","Castellano",405.780090332031
"762","Concubino/a","Castellano",405.780090332031
"763","Concubino/a","Castellano",405.780090332031
"766","Casado/a","Castellano",405.780090332031
"767","Casado/a","Castellano",405.780090332031
"768","Soltero/a","Castellano",405.780090332031
"769","Soltero/a","Castellano",405.780090332031
"771","Concubino/a","Castellano",405.780090332031
"772","Concubino/a","Castellano",405.780090332031
"773","Soltero/a","Castellano",405.780090332031
"774","Soltero/a","Castellano",405.780090332031
"775","Casado/a","Castellano",405.780090332031
"776","Casado/a","Quechua",405.780090332031
"777","Soltero/a","Castellano",405.780090332031
"778","Soltero/a","Castellano",405.780090332031
"779","Soltero/a","Castellano",405.780090332031
"780","Soltero/a","Castellano",405.780090332031
"781","Soltero/a","Castellano",405.780090332031
"782","Casado/a","Castellano",442.669189453125
"783","Casado/a","Castellano",442.669189453125
"784","Soltero/a","Castellano",442.669189453125
"785","Soltero/a","Castellano",442.669189453125
"786","Soltero/a","Castellano",442.669189453125
"788","Concubino/a","Castellano",442.669189453125
"789","Concubino/a","Castellano",442.669189453125
"790","Soltero/a","Castellano",442.669189453125
"794","Casado/a","Castellano",442.669189453125
"795","Casado/a","Castellano",442.669189453125
"796","Soltero/a","Castellano",442.669189453125
"797","Soltero/a","Castellano",442.669189453125
"798","Casado/a","Castellano",442.669189453125
"801","Casado/a","Castellano",442.669189453125
"802","Casado/a","Castellano",442.669189453125
"803","Casado/a","Castellano",442.669189453125
"804","Casado/a","Castellano",442.669189453125
"807","Casado/a","Castellano",442.669189453125
"808","Casado/a","Castellano",442.669189453125
"809","Soltero/a","Castellano",442.669189453125
"810","Soltero/a","Castellano",442.669189453125
"811","Soltero/a","Castellano",442.669189453125
"812","Casado/a","Castellano",442.669189453125
"813","Casado/a","Castellano",442.669189453125
"814","Soltero/a","Castellano",442.669189453125
"815","Casado/a","Castellano",442.669189453125
"816","Casado/a","Castellano",442.669189453125
"817","Casado/a","Castellano",442.669189453125
"818","Soltero/a","Castellano",442.669189453125
"819","Soltero/a","Castellano",442.669189453125
"820","Soltero/a","Castellano",442.669189453125
"821","Soltero/a","Castellano",442.669189453125
"822","Soltero/a","Castellano",442.669189453125
"823","Soltero/a","Quechua",442.669189453125
"824","Soltero/a","Castellano",442.669189453125
"825","Soltero/a","Castellano",442.669189453125
"828","Soltero/a","Castellano",405.780090332031
"829","Soltero/a","Castellano",405.780090332031
"830","Soltero/a","Castellano",405.780090332031
"831","Divorciado/a","Castellano",405.780090332031
"832","Soltero/a","Castellano",405.780090332031
"833","Casado/a","Castellano",405.780090332031
"834","Casado/a","Castellano",405.780090332031
"835","Casado/a","Castellano",405.780090332031
"836","Casado/a","Castellano",405.780090332031
"837","Soltero/a","Castellano",405.780090332031
"840","Viudo/a","Castellano",405.780090332031
"841","Soltero/a","Castellano",405.780090332031
"842","Soltero/a","Castellano",405.780090332031
